time,"I(I_WL1)","I(I_BL1)","I(I_SE1)","I(BVMOUT)","V(QBIN)","V(QBOUT)","V(O1)","V(O2)","V(O2)","V(O3)","V(O4)","V(O5)","V(O6)","P(BJ1|XBQ1)","P(B01|XJTL1_1)","P(B01|XJTL1_2)"
4.500000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.361019e-07,1.548755e-07,2.197817e-08,1.926991e-09,1.399403e-10,1.399403e-10,1.306558e-11,1.035634e-12,7.463775e-14,1.534381e-14,1.347713e+00,8.049631e-01,7.790131e-01
4.510000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.341525e-07,1.526436e-07,2.206171e-08,1.888198e-09,1.387912e-10,1.387912e-10,1.317097e-11,9.951850e-13,7.578925e-14,1.542246e-14,1.347743e+00,8.049659e-01,7.790133e-01
4.520000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.322400e-07,1.501411e-07,2.213241e-08,1.845174e-09,1.385043e-10,1.385043e-10,1.320175e-11,9.563018e-13,7.748992e-14,1.538546e-14,1.347773e+00,8.049688e-01,7.790136e-01
4.530000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.303494e-07,1.474608e-07,2.217032e-08,1.800064e-09,1.389791e-10,1.389791e-10,1.314847e-11,9.213414e-13,7.953669e-14,1.522926e-14,1.347802e+00,8.049716e-01,7.790139e-01
4.540000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.284658e-07,1.447088e-07,2.215851e-08,1.755141e-09,1.400586e-10,1.400586e-10,1.300860e-11,8.922909e-13,8.169253e-14,1.495715e-14,1.347830e+00,8.049745e-01,7.790142e-01
4.550000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.265755e-07,1.419965e-07,2.208423e-08,1.712623e-09,1.415435e-10,1.415435e-10,1.278656e-11,8.706448e-13,8.372505e-14,1.458528e-14,1.347858e+00,8.049773e-01,7.790144e-01
4.560000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.246668e-07,1.394319e-07,2.193982e-08,1.674508e-09,1.432081e-10,1.432081e-10,1.249322e-11,8.572710e-13,8.541613e-14,1.413531e-14,1.347885e+00,8.049802e-01,7.790147e-01
4.570000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.227308e-07,1.371115e-07,2.172321e-08,1.642425e-09,1.448185e-10,1.448185e-10,1.214490e-11,8.523718e-13,8.657804e-14,1.363575e-14,1.347911e+00,8.049832e-01,7.790150e-01
4.580000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.207625e-07,1.351131e-07,2.143789e-08,1.617517e-09,1.461513e-10,1.461513e-10,1.176193e-11,8.554808e-13,8.707021e-14,1.311809e-14,1.347937e+00,8.049862e-01,7.790152e-01
4.590000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.187604e-07,1.334904e-07,2.109265e-08,1.600364e-09,1.470101e-10,1.470101e-10,1.136704e-11,8.655036e-13,8.681152e-14,1.261606e-14,1.347962e+00,8.049892e-01,7.790154e-01
4.600000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.167271e-07,1.322686e-07,2.070073e-08,1.590950e-09,1.472407e-10,1.472407e-10,1.098345e-11,8.808294e-13,8.578169e-14,1.216061e-14,1.347987e+00,8.049922e-01,7.790157e-01
4.610000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.146686e-07,1.314434e-07,2.027882e-08,1.588676e-09,1.467417e-10,1.467417e-10,1.063308e-11,8.994687e-13,8.402074e-14,1.177806e-14,1.348011e+00,8.049953e-01,7.790159e-01
4.620000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.125944e-07,1.309812e-07,1.984568e-08,1.592420e-09,1.454716e-10,1.454716e-10,1.033482e-11,9.192124e-13,8.163279e-14,1.148840e-14,1.348036e+00,8.049983e-01,7.790161e-01
4.630000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.105161e-07,1.308222e-07,1.942072e-08,1.600632e-09,1.434502e-10,1.434502e-10,1.010314e-11,9.378156e-13,7.876884e-14,1.130452e-14,1.348060e+00,8.050013e-01,7.790163e-01
4.640000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.084468e-07,1.308850e-07,1.902255e-08,1.611460e-09,1.407563e-10,1.407563e-10,9.947056e-12,9.531825e-13,7.561003e-14,1.123053e-14,1.348085e+00,8.050043e-01,7.790165e-01
