time,"I(I_WL1)","I(I_BL1)","I(I_SE1)","I(BVMOUT)","V(QBIN)","V(QBOUT)","V(O1)","V(O2)","V(O2)","V(O3)","V(O4)","V(O5)","V(O6)","P(BJ1|XBQ1)","P(B01|XJTL1_1)","P(B01|XJTL1_2)"
4.500000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.379277e-07,1.402860e-07,2.366953e-08,1.652587e-09,1.646601e-10,1.646601e-10,1.239077e-11,8.712063e-13,1.030243e-13,1.314111e-14,1.347716e+00,8.049615e-01,7.790133e-01
4.505000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.368397e-07,1.391846e-07,2.340728e-08,1.644475e-09,1.658149e-10,1.658149e-10,1.204853e-11,8.888224e-13,1.025108e-13,1.271416e-14,1.347729e+00,8.049631e-01,7.790134e-01
4.510000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.357302e-07,1.382906e-07,2.311927e-08,1.640182e-09,1.666449e-10,1.666449e-10,1.171484e-11,9.087794e-13,1.015982e-13,1.232010e-14,1.347742e+00,8.049649e-01,7.790136e-01
4.520000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.334509e-07,1.371367e-07,2.248190e-08,1.642549e-09,1.672280e-10,1.672280e-10,1.109534e-11,9.535617e-13,9.865069e-14,1.165967e-14,1.347767e+00,8.049683e-01,7.790138e-01
4.525000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.322848e-07,1.368726e-07,2.214143e-08,1.648783e-09,1.669486e-10,1.669486e-10,1.081965e-11,9.772499e-13,9.666228e-14,1.140427e-14,1.347780e+00,8.049700e-01,7.790139e-01
4.530000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.311040e-07,1.368075e-07,2.179284e-08,1.657991e-09,1.662800e-10,1.662800e-10,1.057260e-11,1.001019e-12,9.438669e-14,1.120039e-14,1.347792e+00,8.049718e-01,7.790140e-01
4.535000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.299114e-07,1.369295e-07,2.144114e-08,1.669806e-09,1.652258e-10,1.652258e-10,1.035787e-11,1.024282e-12,9.185460e-14,1.105296e-14,1.347805e+00,8.049735e-01,7.790141e-01
4.540000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.287100e-07,1.372229e-07,2.109137e-08,1.683813e-09,1.637973e-10,1.637973e-10,1.017847e-11,1.046474e-12,8.912082e-14,1.096527e-14,1.347817e+00,8.049752e-01,7.790142e-01
4.545000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.275034e-07,1.376690e-07,2.074855e-08,1.699557e-09,1.620133e-10,1.620133e-10,1.003664e-11,1.067053e-12,8.623248e-14,1.093403e-14,1.347830e+00,8.049770e-01,7.790143e-01
4.550000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.262949e-07,1.382459e-07,2.041752e-08,1.716553e-09,1.598998e-10,1.598998e-10,9.933848e-12,1.085518e-12,8.325152e-14,1.096143e-14,1.347843e+00,8.049787e-01,7.790144e-01
4.555000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.250884e-07,1.389295e-07,2.010289e-08,1.734295e-09,1.574893e-10,1.574893e-10,9.870767e-12,1.101412e-12,8.022014e-14,1.104255e-14,1.347856e+00,8.049804e-01,7.790145e-01
4.560000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.238874e-07,1.396935e-07,1.980893e-08,1.752266e-09,1.548198e-10,1.548198e-10,9.847243e-12,1.114347e-12,7.721177e-14,1.117518e-14,1.347869e+00,8.049820e-01,7.790146e-01
4.565000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.226958e-07,1.405102e-07,1.953950e-08,1.769950e-09,1.519345e-10,1.519345e-10,9.862326e-12,1.123983e-12,7.426150e-14,1.135221e-14,1.347882e+00,8.049836e-01,7.790147e-01
