time,"I(I_WL1)","I(I_BL1)","I(I_SE1)","I(BVMOUT)","V(QBIN)","V(QBOUT)","V(O1)","V(O2)","V(O2)","V(O3)","V(O4)","V(O5)","V(O6)","P(BJ1|XBQ1)","P(B01|XJTL1_1)","P(B01|XJTL1_2)"
4.500000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.386507e-07,1.415100e-07,2.364530e-08,1.676743e-09,1.651205e-10,1.651205e-10,1.237130e-11,8.942083e-13,1.021041e-13,1.318002e-14,1.347695e+00,8.049594e-01,7.790131e-01
4.505000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.375579e-07,1.404959e-07,2.338663e-08,1.669682e-09,1.660405e-10,1.660405e-10,1.205184e-11,9.109662e-13,1.014744e-13,1.278761e-14,1.347708e+00,8.049611e-01,7.790132e-01
4.510000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.364442e-07,1.396769e-07,2.310511e-08,1.666138e-09,1.666509e-10,1.666509e-10,1.174211e-11,9.297338e-13,1.004780e-13,1.243081e-14,1.347721e+00,8.049629e-01,7.790134e-01
4.520000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.341585e-07,1.386308e-07,2.248866e-08,1.669055e-09,1.668569e-10,1.668569e-10,1.117197e-11,9.712562e-13,9.745644e-14,1.183615e-14,1.347747e+00,8.049663e-01,7.790136e-01
4.525000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.329901e-07,1.383972e-07,2.216219e-08,1.675082e-09,1.664270e-10,1.664270e-10,1.092067e-11,9.929462e-13,9.548996e-14,1.160816e-14,1.347760e+00,8.049680e-01,7.790137e-01
4.530000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.318078e-07,1.383463e-07,2.182956e-08,1.683767e-09,1.656372e-10,1.656372e-10,1.069712e-11,1.014524e-12,9.325985e-14,1.143168e-14,1.347772e+00,8.049698e-01,7.790138e-01
4.535000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.306142e-07,1.384657e-07,2.149546e-08,1.694756e-09,1.644932e-10,1.644932e-10,1.050454e-11,1.035457e-12,9.081820e-14,1.131000e-14,1.347785e+00,8.049715e-01,7.790139e-01
4.540000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.294125e-07,1.387398e-07,2.116456e-08,1.707652e-09,1.630075e-10,1.630075e-10,1.034548e-11,1.055225e-12,8.819896e-14,1.124095e-14,1.347798e+00,8.049732e-01,7.790141e-01
4.545000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.282060e-07,1.391503e-07,2.084149e-08,1.722024e-09,1.612000e-10,1.612000e-10,1.022178e-11,1.073332e-12,8.545532e-14,1.122615e-14,1.347811e+00,8.049749e-01,7.790142e-01
4.550000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.269982e-07,1.396760e-07,2.053069e-08,1.737416e-09,1.590967e-10,1.590967e-10,1.013457e-11,1.089338e-12,8.263932e-14,1.126342e-14,1.347824e+00,8.049766e-01,7.790143e-01
4.555000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.257927e-07,1.402936e-07,2.023637e-08,1.753354e-09,1.567293e-10,1.567293e-10,1.008419e-11,1.102832e-12,7.980086e-14,1.135111e-14,1.347837e+00,8.049783e-01,7.790144e-01
4.560000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.245932e-07,1.409783e-07,1.996238e-08,1.769358e-09,1.541347e-10,1.541347e-10,1.007027e-11,1.113469e-12,7.699199e-14,1.148265e-14,1.347850e+00,8.049800e-01,7.790145e-01
4.565000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.234032e-07,1.417039e-07,1.971218e-08,1.784952e-09,1.513542e-10,1.513542e-10,1.009168e-11,1.120966e-12,7.426863e-14,1.165858e-14,1.347864e+00,8.049816e-01,7.790146e-01
4.570000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.222263e-07,1.424434e-07,1.948877e-08,1.799670e-09,1.484326e-10,1.484326e-10,1.014659e-11,1.125106e-12,7.167351e-14,1.187013e-14,1.347877e+00,8.049832e-01,7.790147e-01
4.575000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.210659e-07,1.431699e-07,1.929457e-08,1.813068e-09,1.454170e-10,1.454170e-10,1.023249e-11,1.125747e-12,6.925432e-14,1.211129e-14,1.347891e+00,8.049847e-01,7.790148e-01
4.580000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.199250e-07,1.438567e-07,1.913148e-08,1.824734e-09,1.423562e-10,1.423562e-10,1.034631e-11,1.122811e-12,6.704888e-14,1.237600e-14,1.347904e+00,8.049863e-01,7.790149e-01
4.585000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.188064e-07,1.444779e-07,1.900074e-08,1.834292e-09,1.392995e-10,1.392995e-10,1.048439e-11,1.116312e-12,6.510432e-14,1.265881e-14,1.347918e+00,8.049878e-01,7.790150e-01
4.590000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.177127e-07,1.450091e-07,1.890298e-08,1.841410e-09,1.362959e-10,1.362959e-10,1.064265e-11,1.106321e-12,6.343928e-14,1.294983e-14,1.347932e+00,8.049892e-01,7.790151e-01
4.595000e-11,0.000000e+00,0.000000e+00,0.000000e+00,-2.166457e-07,1.454279e-07,1.883818e-08,1.845810e-09,1.333928e-10,1.333928e-10,1.081662e-11,1.092988e-12,6.208829e-14,1.324250e-14,1.347947e+00,8.049907e-01,7.790152e-01
