time,"V(T)","V(N0)","V(2)","V(6)","V(8)","V(9)","V(13)","V(Q1)","V(Q2)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,1.236326e-05,9.368428e-06,1.154576e-05,1.219654e-05,1.492602e-05,1.680826e-05,1.238291e-05,1.352222e-05,1.591884e-05
2.000000e-14,8.459448e-06,6.629786e-06,8.162043e-06,8.543412e-06,1.015204e-05,1.130110e-05,8.332605e-06,9.302469e-06,1.068183e-05
3.000000e-14,8.623231e-06,6.907844e-06,8.495294e-06,8.841639e-06,1.032261e-05,1.138492e-05,8.402790e-06,9.516430e-06,1.074997e-05
4.000000e-14,8.788638e-06,7.179327e-06,8.817665e-06,9.132020e-06,1.050993e-05,1.147897e-05,8.483259e-06,9.730135e-06,1.083166e-05
5.000000e-14,8.956475e-06,7.445727e-06,9.130737e-06,9.415667e-06,1.071450e-05,1.158348e-05,8.574203e-06,9.944623e-06,1.092707e-05
6.000000e-14,9.127515e-06,7.708519e-06,9.436098e-06,9.693711e-06,1.093675e-05,1.169856e-05,8.675750e-06,1.016089e-05,1.103629e-05
7.000000e-14,9.302483e-06,7.969110e-06,9.735273e-06,9.967243e-06,1.117701e-05,1.182433e-05,8.788002e-06,1.037989e-05,1.115937e-05
8.000000e-14,9.482054e-06,8.228821e-06,1.002970e-05,1.023730e-05,1.143559e-05,1.196087e-05,8.911046e-06,1.060248e-05,1.129632e-05
9.000000e-14,9.666855e-06,8.488884e-06,1.032073e-05,1.050487e-05,1.171277e-05,1.210825e-05,9.044955e-06,1.082948e-05,1.144716e-05
1.000000e-13,9.857467e-06,8.750445e-06,1.060963e-05,1.077087e-05,1.200878e-05,1.226653e-05,9.189794e-06,1.106164e-05,1.161189e-05
1.100000e-13,1.005443e-05,9.014564e-06,1.089757e-05,1.103616e-05,1.232384e-05,1.243575e-05,9.345619e-06,1.129965e-05,1.179050e-05
1.200000e-13,1.025822e-05,9.282224e-06,1.118564e-05,1.130156e-05,1.265812e-05,1.261593e-05,9.512475e-06,1.154414e-05,1.198296e-05
1.300000e-13,1.046931e-05,9.554329e-06,1.147485e-05,1.156784e-05,1.301179e-05,1.280710e-05,9.690400e-06,1.179568e-05,1.218925e-05
1.400000e-13,1.068809e-05,9.831711e-06,1.176616e-05,1.183569e-05,1.338496e-05,1.300925e-05,9.879423e-06,1.205480e-05,1.240931e-05
1.500000e-13,1.091494e-05,1.011513e-05,1.206042e-05,1.210579e-05,1.377774e-05,1.322239e-05,1.007956e-05,1.232199e-05,1.264310e-05
1.600000e-13,1.115020e-05,1.040529e-05,1.235845e-05,1.237873e-05,1.419019e-05,1.344647e-05,1.029084e-05,1.259766e-05,1.289053e-05
1.700000e-13,1.139418e-05,1.070282e-05,1.266097e-05,1.265510e-05,1.462237e-05,1.368148e-05,1.051324e-05,1.288223e-05,1.315155e-05
1.900000e-13,1.190929e-05,1.132221e-05,1.328216e-05,1.322018e-05,1.554597e-05,1.418405e-05,1.099142e-05,1.347934e-05,1.371394e-05
2.000000e-13,1.218088e-05,1.164505e-05,1.360201e-05,1.350981e-05,1.603736e-05,1.445149e-05,1.124716e-05,1.379247e-05,1.401511e-05
2.100000e-13,1.246207e-05,1.197722e-05,1.392873e-05,1.380473e-05,1.654842e-05,1.472959e-05,1.151398e-05,1.411564e-05,1.432944e-05
2.200000e-13,1.275301e-05,1.231908e-05,1.426278e-05,1.410530e-05,1.707908e-05,1.501827e-05,1.179182e-05,1.444904e-05,1.465680e-05
2.300000e-13,1.305381e-05,1.267093e-05,1.460457e-05,1.441186e-05,1.762924e-05,1.531742e-05,1.208066e-05,1.479286e-05,1.499707e-05
2.400000e-13,1.336459e-05,1.303306e-05,1.495447e-05,1.472471e-05,1.819880e-05,1.562693e-05,1.238043e-05,1.514721e-05,1.535007e-05
2.500000e-13,1.368541e-05,1.340567e-05,1.531280e-05,1.504412e-05,1.878763e-05,1.594668e-05,1.269109e-05,1.551222e-05,1.571567e-05
2.600000e-13,1.401633e-05,1.378897e-05,1.567985e-05,1.537032e-05,1.939555e-05,1.627653e-05,1.301256e-05,1.588796e-05,1.609370e-05
2.700000e-13,1.435737e-05,1.418308e-05,1.605586e-05,1.570353e-05,2.002242e-05,1.661634e-05,1.334478e-05,1.627448e-05,1.648398e-05
