time,"I(LT0)","I(LT1)","I(LT2)","I(LT3)","I(LT4)","I(LT5)","I(LT6)","I(LT7)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,9.075239e-09,-2.856457e-09,-5.899534e-09,-4.013212e-09,1.889309e-10,-3.800747e-09,-1.886322e-09,-7.872020e-09
2.000000e-14,1.764475e-08,-5.860739e-09,-1.193383e-08,-8.313314e-09,4.155131e-10,-6.956733e-09,-3.620512e-09,-1.502722e-08
3.000000e-14,2.569940e-08,-9.017147e-09,-1.810169e-08,-1.289922e-08,6.811647e-10,-9.468274e-09,-5.202475e-09,-2.142474e-08
4.000000e-14,3.326098e-08,-1.232080e-08,-2.439241e-08,-1.775144e-08,9.849512e-10,-1.137727e-08,-6.640967e-09,-2.706431e-08
5.000000e-14,4.035953e-08,-1.576405e-08,-3.079199e-08,-2.284564e-08,1.325173e-09,-1.273708e-08,-7.946348e-09,-3.195722e-08
6.000000e-14,4.702570e-08,-1.933859e-08,-3.728535e-08,-2.815718e-08,1.699908e-09,-1.360226e-08,-9.128178e-09,-3.611668e-08
7.000000e-14,5.328828e-08,-2.303625e-08,-4.385706e-08,-3.366257e-08,2.107204e-09,-1.402529e-08,-1.019450e-08,-3.955458e-08
8.000000e-14,5.917349e-08,-2.684917e-08,-5.049158e-08,-3.933991e-08,2.545145e-09,-1.405552e-08,-1.115167e-08,-4.228064e-08
9.000000e-14,6.470483e-08,-3.076994e-08,-5.717338e-08,-4.516893e-08,3.011876e-09,-1.373901e-08,-1.200445e-08,-4.430208e-08
1.000000e-13,6.990323e-08,-3.479153e-08,-6.388698e-08,-5.113092e-08,3.505621e-09,-1.311858e-08,-1.275605e-08,-4.562376e-08
1.100000e-13,7.478712e-08,-3.890736e-08,-7.061694e-08,-5.720864e-08,4.024685e-09,-1.223395e-08,-1.340830e-08,-4.624819e-08
1.200000e-13,7.937265e-08,-4.311124e-08,-7.734793e-08,-6.338619e-08,4.567457e-09,-1.112195e-08,-1.396173e-08,-4.617575e-08
1.300000e-13,8.367382e-08,-4.739737e-08,-8.406471e-08,-6.964898e-08,5.132416e-09,-9.816663e-09,-1.441573e-08,-4.540478e-08
1.400000e-13,8.770262e-08,-5.176035e-08,-9.075215e-08,-7.598354e-08,5.718128e-09,-8.349593e-09,-1.476861e-08,-4.393174e-08
1.500000e-13,9.146922e-08,-5.619514e-08,-9.739527e-08,-8.237755e-08,6.323248e-09,-6.749836e-09,-1.501772e-08,-4.175130e-08
1.600000e-13,9.498207e-08,-6.069703e-08,-1.039792e-07,-8.881966e-08,6.946521e-09,-5.044221e-09,-1.515956e-08,-3.885654e-08
1.700000e-13,9.824805e-08,-6.526168e-08,-1.104893e-07,-9.529948e-08,7.586778e-09,-3.257446e-09,-1.518983e-08,-3.523902e-08
1.900000e-13,1.040598e-07,-7.456347e-08,-1.232302e-07,-1.083350e-07,8.913999e-09,4.706384e-10,-1.489514e-08,-2.579506e-08
2.000000e-13,1.066127e-07,-7.929350e-08,-1.294326e-07,-1.148741e-07,9.599049e-09,2.372046e-09,-1.455842e-08,-1.994524e-08
2.100000e-13,1.089328e-07,-8.407203e-08,-1.355044e-07,-1.214176e-07,1.029725e-08,4.274583e-09,-1.408674e-08,-1.332611e-08
2.200000e-13,1.110212e-07,-8.889623e-08,-1.414320e-07,-1.279589e-07,1.100783e-08,6.162372e-09,-1.347305e-08,-5.923367e-09
2.300000e-13,1.128775e-07,-9.376354e-08,-1.472021e-07,-1.344922e-07,1.173011e-08,8.020990e-09,-1.270991e-08,2.278142e-09
2.400000e-13,1.145010e-07,-9.867166e-08,-1.528017e-07,-1.410121e-07,1.246347e-08,9.837371e-09,-1.178956e-08,1.129435e-08
2.500000e-13,1.158898e-07,-1.036185e-07,-1.582179e-07,-1.475139e-07,1.320735e-08,1.159973e-08,-1.070399e-08,2.114186e-08
2.600000e-13,1.170417e-07,-1.086023e-07,-1.634384e-07,-1.539934e-07,1.396126e-08,1.329748e-08,-9.444936e-09,3.183787e-08
2.700000e-13,1.179538e-07,-1.136215e-07,-1.684509e-07,-1.604469e-07,1.472477e-08,1.492114e-08,-8.003983e-09,4.340011e-08
2.800000e-13,1.186227e-07,-1.186746e-07,-1.732438e-07,-1.668712e-07,1.549749e-08,1.646232e-08,-6.372553e-09,5.584673e-08
2.900000e-13,1.190445e-07,-1.237606e-07,-1.778055e-07,-1.732635e-07,1.627909e-08,1.791357e-08,-4.541965e-09,6.919623e-08
3.000000e-13,1.192150e-07,-1.288784e-07,-1.821249e-07,-1.796215e-07,1.706929e-08,1.926842e-08,-2.503458e-09,8.346740e-08
3.100000e-13,1.191296e-07,-1.340273e-07,-1.861914e-07,-1.859432e-07,1.786785e-08,2.052121e-08,-2.482286e-10,9.867927e-08
3.200000e-13,1.187837e-07,-1.392068e-07,-1.899947e-07,-1.922273e-07,1.867457e-08,2.166714e-08,2.232550e-09,1.148510e-07
3.300000e-13,1.181721e-07,-1.444164e-07,-1.935248e-07,-1.984724e-07,1.948927e-08,2.270215e-08,4.947695e-09,1.320018e-07
3.400000e-13,1.172898e-07,-1.496558e-07,-1.967721e-07,-2.046781e-07,2.031183e-08,2.362291e-08,7.905997e-09,1.501510e-07
3.500000e-13,1.161315e-07,-1.549251e-07,-1.997275e-07,-2.108437e-07,2.114212e-08,2.442674e-08,1.111619e-08,1.693178e-07
3.600000e-13,1.146919e-07,-1.602242e-07,-2.023823e-07,-2.169693e-07,2.198008e-08,2.511162e-08,1.458695e-08,1.895213e-07
3.700000e-13,1.129656e-07,-1.655534e-07,-2.047283e-07,-2.230551e-07,2.282562e-08,2.567608e-08,1.832686e-08,2.107807e-07
3.800000e-13,1.109473e-07,-1.709131e-07,-2.067575e-07,-2.291019e-07,2.367871e-08,2.611925e-08,2.234438e-08,2.331146e-07
3.900000e-13,1.086317e-07,-1.763037e-07,-2.084626e-07,-2.351105e-07,2.453930e-08,2.644074e-08,2.664789e-08,2.565417e-07
4.000000e-13,1.060136e-07,-1.817258e-07,-2.098365e-07,-2.410821e-07,2.540738e-08,2.664066e-08,3.124559e-08,2.810802e-07
4.100000e-13,1.030880e-07,-1.871802e-07,-2.108727e-07,-2.470183e-07,2.628293e-08,2.671957e-08,3.614559e-08,3.067481e-07
4.200000e-13,9.984982e-08,-1.926676e-07,-2.115651e-07,-2.529209e-07,2.716593e-08,2.667846e-08,4.135581e-08,3.335631e-07
4.300000e-13,9.629433e-08,-1.981891e-07,-2.119080e-07,-2.587920e-07,2.805638e-08,2.651873e-08,4.688400e-08,3.615422e-07
4.400000e-13,9.241690e-08,-2.037455e-07,-2.118963e-07,-2.646341e-07,2.895426e-08,2.624214e-08,5.273777e-08,3.907023e-07
4.500000e-13,8.821314e-08,-2.093381e-07,-2.115251e-07,-2.704497e-07,2.985956e-08,2.585080e-08,5.892453e-08,4.210594e-07
4.600000e-13,8.367887e-08,-2.149680e-07,-2.107903e-07,-2.762417e-07,3.077227e-08,2.534717e-08,6.545149e-08,4.526295e-07
4.700000e-13,7.881014e-08,-2.206365e-07,-2.096878e-07,-2.820135e-07,3.169235e-08,2.473399e-08,7.232569e-08,4.854276e-07
4.800000e-13,7.360329e-08,-2.263449e-07,-2.082143e-07,-2.877682e-07,3.261976e-08,2.401431e-08,7.955397e-08,5.194683e-07
4.900000e-13,6.805491e-08,-2.320946e-07,-2.063668e-07,-2.935097e-07,3.355446e-08,2.319144e-08,8.714295e-08,5.547656e-07
5.000000e-13,6.216186e-08,-2.378871e-07,-2.041427e-07,-2.992418e-07,3.449639e-08,2.226895e-08,9.509905e-08,5.913329e-07
5.100000e-13,5.592133e-08,-2.437238e-07,-2.015401e-07,-3.049686e-07,3.544545e-08,2.125064e-08,1.034285e-07,6.291828e-07
5.200000e-13,4.933079e-08,-2.496064e-07,-1.985572e-07,-3.106945e-07,3.640157e-08,2.014053e-08,1.121373e-07,6.683274e-07
5.300000e-13,4.238803e-08,-2.555364e-07,-1.951928e-07,-3.164241e-07,3.736462e-08,1.894287e-08,1.212312e-07,7.087780e-07
5.400000e-13,3.509114e-08,-2.615154e-07,-1.914462e-07,-3.221621e-07,3.833447e-08,1.766207e-08,1.307159e-07,7.505451e-07
5.500000e-13,2.743856e-08,-2.675452e-07,-1.873168e-07,-3.279135e-07,3.931096e-08,1.630275e-08,1.405966e-07,7.936385e-07
5.600000e-13,1.942902e-08,-2.736273e-07,-1.828049e-07,-3.336834e-07,4.029393e-08,1.486969e-08,1.508786e-07,8.380674e-07
5.700000e-13,1.106162e-08,-2.797635e-07,-1.779107e-07,-3.394773e-07,4.128316e-08,1.336782e-08,1.615666e-07,8.838400e-07
5.800000e-13,2.335759e-09,-2.859554e-07,-1.726351e-07,-3.453007e-07,4.227843e-08,1.180223e-08,1.726655e-07,9.309639e-07
5.900000e-13,-6.748821e-09,-2.922049e-07,-1.669795e-07,-3.511593e-07,4.327951e-08,1.017814e-08,1.841798e-07,9.794457e-07
6.000000e-13,-1.619205e-08,-2.985136e-07,-1.609453e-07,-3.570589e-07,4.428611e-08,8.500898e-09,1.961136e-07,1.029291e-06
6.100000e-13,-2.599353e-08,-3.048833e-07,-1.545346e-07,-3.630058e-07,4.529794e-08,6.775984e-09,2.084711e-07,1.080506e-06
6.200000e-13,-3.615252e-08,-3.113156e-07,-1.477498e-07,-3.690059e-07,4.631467e-08,5.008975e-09,2.212561e-07,1.133094e-06
6.300000e-13,-4.666799e-08,-3.178123e-07,-1.405935e-07,-3.750658e-07,4.733596e-08,3.205555e-09,2.344723e-07,1.187058e-06
6.400000e-13,-5.753856e-08,-3.243751e-07,-1.330689e-07,-3.811918e-07,4.836142e-08,1.371504e-09,2.481229e-07,1.242401e-06
6.500000e-13,-6.876255e-08,-3.310056e-07,-1.251793e-07,-3.873907e-07,4.939066e-08,-4.873138e-10,2.622114e-07,1.299125e-06
6.600000e-13,-8.033795e-08,-3.377055e-07,-1.169285e-07,-3.936690e-07,5.042326e-08,-2.364949e-09,2.767405e-07,1.357230e-06
6.700000e-13,-9.226248e-08,-3.444765e-07,-1.083205e-07,-4.000338e-07,5.145874e-08,-4.255382e-09,2.917132e-07,1.416717e-06
6.800000e-13,-1.045335e-07,-3.513200e-07,-9.935974e-08,-4.064918e-07,5.249665e-08,-6.152523e-09,3.071321e-07,1.477585e-06
6.900000e-13,-1.171482e-07,-3.582377e-07,-9.005081e-08,-4.130502e-07,5.353646e-08,-8.050223e-09,3.229994e-07,1.539831e-06
7.000000e-13,-1.301033e-07,-3.652311e-07,-8.039869e-08,-4.197161e-07,5.457765e-08,-9.942276e-09,3.393174e-07,1.603453e-06
7.100000e-13,-1.433955e-07,-3.723016e-07,-7.040858e-08,-4.264967e-07,5.561966e-08,-1.182243e-08,3.560881e-07,1.668448e-06
7.200000e-13,-1.570210e-07,-3.794507e-07,-6.008597e-08,-4.333993e-07,5.666191e-08,-1.368438e-08,3.733133e-07,1.734812e-06
7.300000e-13,-1.709757e-07,-3.866797e-07,-4.943659e-08,-4.404311e-07,5.770381e-08,-1.552179e-08,3.909945e-07,1.802538e-06
7.400000e-13,-1.852557e-07,-3.939901e-07,-3.846641e-08,-4.475996e-07,5.874472e-08,-1.732830e-08,4.091332e-07,1.871622e-06
7.500000e-13,-1.998562e-07,-4.013830e-07,-2.718163e-08,-4.549122e-07,5.978399e-08,-1.909750e-08,4.277306e-07,1.942055e-06
7.600000e-13,-2.147727e-07,-4.088596e-07,-1.558866e-08,-4.623763e-07,6.082095e-08,-2.082296e-08,4.467877e-07,2.013830e-06
7.700000e-13,-2.300003e-07,-4.164212e-07,-3.694118e-09,-4.699994e-07,6.185492e-08,-2.249825e-08,4.663053e-07,2.086939e-06
7.800000e-13,-2.455339e-07,-4.240687e-07,8.495200e-09,-4.777890e-07,6.288518e-08,-2.411691e-08,4.862842e-07,2.161373e-06
7.900000e-13,-2.613681e-07,-4.318032e-07,2.097231e-08,-4.857525e-07,6.391100e-08,-2.567247e-08,5.067248e-07,2.237119e-06
8.000000e-13,-2.774975e-07,-4.396256e-07,3.373006e-08,-4.938974e-07,6.493162e-08,-2.715847e-08,5.276274e-07,2.314169e-06
8.100000e-13,-2.939163e-07,-4.475368e-07,4.676117e-08,-5.022310e-07,6.594630e-08,-2.856843e-08,5.489922e-07,2.392509e-06
8.200000e-13,-3.106188e-07,-4.555377e-07,6.005818e-08,-5.107610e-07,6.695424e-08,-2.989588e-08,5.708191e-07,2.472127e-06
8.300000e-13,-3.275989e-07,-4.636288e-07,7.361353e-08,-5.194945e-07,6.795465e-08,-3.113437e-08,5.931080e-07,2.553009e-06
8.400000e-13,-3.448506e-07,-4.718108e-07,8.741954e-08,-5.284389e-07,6.894671e-08,-3.227745e-08,6.158584e-07,2.635142e-06
8.500000e-13,-3.623676e-07,-4.800844e-07,1.014684e-07,-5.376014e-07,6.992962e-08,-3.331869e-08,6.390699e-07,2.718509e-06
8.600000e-13,-3.801434e-07,-4.884498e-07,1.157523e-07,-5.469893e-07,7.090252e-08,-3.425167e-08,6.627416e-07,2.803095e-06
8.700000e-13,-3.981717e-07,-4.969076e-07,1.302633e-07,-5.566096e-07,7.186458e-08,-3.507003e-08,6.868729e-07,2.888884e-06
8.800000e-13,-4.164458e-07,-5.054581e-07,1.449933e-07,-5.664694e-07,7.281494e-08,-3.576740e-08,7.114626e-07,2.975858e-06
8.900000e-13,-4.349592e-07,-5.141013e-07,1.599342e-07,-5.765755e-07,7.375275e-08,-3.633745e-08,7.365097e-07,3.063999e-06
9.000000e-13,-4.537049e-07,-5.228375e-07,1.750780e-07,-5.869347e-07,7.467712e-08,-3.677392e-08,7.620127e-07,3.153289e-06
9.100000e-13,-4.726764e-07,-5.316667e-07,1.904165e-07,-5.975537e-07,7.558720e-08,-3.707056e-08,7.879702e-07,3.243707e-06
9.200000e-13,-4.918666e-07,-5.405888e-07,2.059415e-07,-6.084391e-07,7.648211e-08,-3.722116e-08,8.143807e-07,3.335234e-06
9.300000e-13,-5.112688e-07,-5.496035e-07,2.216450e-07,-6.195972e-07,7.736095e-08,-3.721959e-08,8.412422e-07,3.427849e-06
9.400000e-13,-5.308761e-07,-5.587108e-07,2.375186e-07,-6.310343e-07,7.822286e-08,-3.705975e-08,8.685530e-07,3.521531e-06
9.500000e-13,-5.506814e-07,-5.679102e-07,2.535543e-07,-6.427565e-07,7.906696e-08,-3.673561e-08,8.963109e-07,3.616258e-06
9.600000e-13,-5.706779e-07,-5.772013e-07,2.697440e-07,-6.547697e-07,7.989236e-08,-3.624119e-08,9.245137e-07,3.712006e-06
9.700000e-13,-5.908587e-07,-5.865836e-07,2.860796e-07,-6.670796e-07,8.069819e-08,-3.557060e-08,9.531592e-07,3.808753e-06
9.800000e-13,-6.112169e-07,-5.960563e-07,3.025530e-07,-6.796919e-07,8.148357e-08,-3.471799e-08,9.822449e-07,3.906475e-06
9.900000e-13,-6.317455e-07,-6.056188e-07,3.191563e-07,-6.926118e-07,8.224765e-08,-3.367760e-08,1.011768e-06,4.005148e-06
1.000000e-12,-6.524377e-07,-6.152703e-07,3.358815e-07,-7.058445e-07,8.298955e-08,-3.244375e-08,1.041726e-06,4.104746e-06
1.010000e-12,-6.732868e-07,-6.250098e-07,3.527209e-07,-7.193949e-07,8.370844e-08,-3.101083e-08,1.072116e-06,4.205245e-06
1.020000e-12,-6.942860e-07,-6.348363e-07,3.696667e-07,-7.332679e-07,8.440346e-08,-2.937334e-08,1.102935e-06,4.306618e-06
1.030000e-12,-7.154285e-07,-6.447487e-07,3.867112e-07,-7.474678e-07,8.507379e-08,-2.752584e-08,1.134179e-06,4.408839e-06
1.040000e-12,-7.367079e-07,-6.547458e-07,4.038470e-07,-7.619990e-07,8.571861e-08,-2.546301e-08,1.165846e-06,4.511881e-06
1.050000e-12,-7.581175e-07,-6.648262e-07,4.210667e-07,-7.768654e-07,8.633712e-08,-2.317961e-08,1.197932e-06,4.615718e-06
1.060000e-12,-7.796511e-07,-6.749887e-07,4.383628e-07,-7.920709e-07,8.692852e-08,-2.067052e-08,1.230434e-06,4.720320e-06
1.070000e-12,-8.013021e-07,-6.852317e-07,4.557284e-07,-8.076188e-07,8.749205e-08,-1.793070e-08,1.263347e-06,4.825661e-06
1.080000e-12,-8.230644e-07,-6.955536e-07,4.731563e-07,-8.235125e-07,8.802694e-08,-1.495525e-08,1.296669e-06,4.931711e-06
1.090000e-12,-8.449319e-07,-7.059528e-07,4.906397e-07,-8.397550e-07,8.853247e-08,-1.173936e-08,1.330395e-06,5.038443e-06
1.100000e-12,-8.668986e-07,-7.164275e-07,5.081720e-07,-8.563489e-07,8.900792e-08,-8.278347e-09,1.364521e-06,5.145826e-06
1.110000e-12,-8.889587e-07,-7.269759e-07,5.257464e-07,-8.732966e-07,8.945259e-08,-4.567654e-09,1.399043e-06,5.253832e-06
1.120000e-12,-9.111064e-07,-7.375960e-07,5.433568e-07,-8.906003e-07,8.986581e-08,-6.028444e-10,1.433957e-06,5.362430e-06
1.130000e-12,-9.333362e-07,-7.482859e-07,5.609968e-07,-9.082617e-07,9.024694e-08,3.620390e-09,1.469258e-06,5.471591e-06
1.140000e-12,-9.556426e-07,-7.590435e-07,5.786604e-07,-9.262825e-07,9.059535e-08,8.106223e-09,1.504943e-06,5.581284e-06
1.150000e-12,-9.780203e-07,-7.698665e-07,5.963419e-07,-9.446637e-07,9.091044e-08,1.285869e-08,1.541006e-06,5.691480e-06
1.160000e-12,-1.000464e-06,-7.807528e-07,6.140356e-07,-9.634065e-07,9.119166e-08,1.788169e-08,1.577442e-06,5.802146e-06
1.170000e-12,-1.022970e-06,-7.917000e-07,6.317360e-07,-9.825113e-07,9.143846e-08,2.317898e-08,1.614247e-06,5.913253e-06
1.180000e-12,-1.045531e-06,-8.027058e-07,6.494380e-07,-1.001978e-06,9.165033e-08,2.875417e-08,1.651416e-06,6.024769e-06
1.190000e-12,-1.068145e-06,-8.137676e-07,6.671364e-07,-1.021808e-06,9.182679e-08,3.461070e-08,1.688944e-06,6.136664e-06
1.200000e-12,-1.090806e-06,-8.248829e-07,6.848265e-07,-1.041999e-06,9.196740e-08,4.075188e-08,1.726826e-06,6.248905e-06
1.210000e-12,-1.113511e-06,-8.360491e-07,7.025037e-07,-1.062552e-06,9.207175e-08,4.718086e-08,1.765055e-06,6.361462e-06
1.220000e-12,-1.136254e-06,-8.472636e-07,7.201636e-07,-1.083465e-06,9.213946e-08,5.390062e-08,1.803628e-06,6.474303e-06
1.230000e-12,-1.159033e-06,-8.585236e-07,7.378020e-07,-1.104736e-06,9.217018e-08,6.091397e-08,1.842538e-06,6.587397e-06
1.240000e-12,-1.181844e-06,-8.698264e-07,7.554150e-07,-1.126366e-06,9.216360e-08,6.822358e-08,1.881781e-06,6.700712e-06
1.250000e-12,-1.204682e-06,-8.811691e-07,7.729990e-07,-1.148350e-06,9.211947e-08,7.583191e-08,1.921349e-06,6.814216e-06
1.260000e-12,-1.227546e-06,-8.925487e-07,7.905504e-07,-1.170687e-06,9.203753e-08,8.374129e-08,1.961237e-06,6.927878e-06
1.270000e-12,-1.250431e-06,-9.039625e-07,8.080660e-07,-1.193374e-06,9.191761e-08,9.195384e-08,2.001440e-06,7.041666e-06
1.280000e-12,-1.273335e-06,-9.154072e-07,8.255427e-07,-1.216409e-06,9.175955e-08,1.004715e-07,2.041952e-06,7.155549e-06
1.290000e-12,-1.296256e-06,-9.268801e-07,8.429779e-07,-1.239788e-06,9.156324e-08,1.092961e-07,2.082766e-06,7.269496e-06
1.300000e-12,-1.319190e-06,-9.383778e-07,8.603689e-07,-1.263506e-06,9.132860e-08,1.184292e-07,2.123875e-06,7.383476e-06
1.310000e-12,-1.342135e-06,-9.498974e-07,8.777135e-07,-1.287561e-06,9.105560e-08,1.278721e-07,2.165275e-06,7.497456e-06
1.320000e-12,-1.365090e-06,-9.614357e-07,8.950096e-07,-1.311948e-06,9.074426e-08,1.376262e-07,2.206958e-06,7.611406e-06
1.330000e-12,-1.388052e-06,-9.729895e-07,9.122553e-07,-1.336662e-06,9.039463e-08,1.476924e-07,2.248918e-06,7.725295e-06
1.340000e-12,-1.411019e-06,-9.845556e-07,9.294490e-07,-1.361699e-06,9.000682e-08,1.580715e-07,2.291148e-06,7.839093e-06
1.350000e-12,-1.433991e-06,-9.961307e-07,9.465894e-07,-1.387052e-06,8.958096e-08,1.687642e-07,2.333641e-06,7.952769e-06
1.360000e-12,-1.456966e-06,-1.007712e-06,9.636753e-07,-1.412716e-06,8.911726e-08,1.797710e-07,2.376391e-06,8.066292e-06
1.370000e-12,-1.479943e-06,-1.019295e-06,9.807058e-07,-1.438685e-06,8.861594e-08,1.910920e-07,2.419391e-06,8.179632e-06
1.380000e-12,-1.502920e-06,-1.030878e-06,9.976803e-07,-1.464954e-06,8.807728e-08,2.027273e-07,2.462634e-06,8.292761e-06
1.390000e-12,-1.525897e-06,-1.042456e-06,1.014598e-06,-1.491514e-06,8.750163e-08,2.146767e-07,2.506113e-06,8.405647e-06
1.400000e-12,-1.548874e-06,-1.054028e-06,1.031459e-06,-1.518360e-06,8.688934e-08,2.269399e-07,2.549820e-06,8.518261e-06
1.410000e-12,-1.571851e-06,-1.065588e-06,1.048264e-06,-1.545485e-06,8.624084e-08,2.395162e-07,2.593748e-06,8.630576e-06
1.420000e-12,-1.594826e-06,-1.077135e-06,1.065012e-06,-1.572879e-06,8.555661e-08,2.524050e-07,2.637891e-06,8.742561e-06
1.430000e-12,-1.617800e-06,-1.088664e-06,1.081703e-06,-1.600537e-06,8.483716e-08,2.656052e-07,2.682240e-06,8.854190e-06
1.440000e-12,-1.640774e-06,-1.100172e-06,1.098340e-06,-1.628449e-06,8.408306e-08,2.791155e-07,2.726789e-06,8.965433e-06
1.450000e-12,-1.663747e-06,-1.111657e-06,1.114921e-06,-1.656608e-06,8.329492e-08,2.929347e-07,2.771529e-06,9.076263e-06
1.460000e-12,-1.686720e-06,-1.123114e-06,1.131449e-06,-1.685004e-06,8.247340e-08,3.070610e-07,2.816453e-06,9.186653e-06
1.470000e-12,-1.709694e-06,-1.134541e-06,1.147925e-06,-1.713628e-06,8.161922e-08,3.214927e-07,2.861553e-06,9.296576e-06
1.480000e-12,-1.732669e-06,-1.145935e-06,1.164350e-06,-1.742472e-06,8.073313e-08,3.362277e-07,2.906822e-06,9.406005e-06
1.490000e-12,-1.755647e-06,-1.157291e-06,1.180725e-06,-1.771525e-06,7.981595e-08,3.512638e-07,2.952251e-06,9.514916e-06
1.500000e-12,-1.778629e-06,-1.168607e-06,1.197054e-06,-1.800779e-06,7.886852e-08,3.665985e-07,2.997832e-06,9.623282e-06
1.510000e-12,-1.801616e-06,-1.179879e-06,1.213336e-06,-1.830222e-06,7.789176e-08,3.822291e-07,3.043559e-06,9.731077e-06
1.520000e-12,-1.824609e-06,-1.191105e-06,1.229576e-06,-1.859846e-06,7.688662e-08,3.981527e-07,3.089421e-06,9.838279e-06
1.530000e-12,-1.847611e-06,-1.202282e-06,1.245774e-06,-1.889638e-06,7.585411e-08,4.143663e-07,3.135412e-06,9.944862e-06
1.540000e-12,-1.870622e-06,-1.213405e-06,1.261935e-06,-1.919589e-06,7.479526e-08,4.308666e-07,3.181523e-06,1.005080e-05
1.550000e-12,-1.893644e-06,-1.224473e-06,1.278059e-06,-1.949687e-06,7.371117e-08,4.476500e-07,3.227746e-06,1.015608e-05
1.560000e-12,-1.916680e-06,-1.235483e-06,1.294151e-06,-1.979922e-06,7.260300e-08,4.647129e-07,3.274073e-06,1.026067e-05
1.570000e-12,-1.939731e-06,-1.246430e-06,1.310213e-06,-2.010282e-06,7.147193e-08,4.820513e-07,3.320494e-06,1.036454e-05
1.580000e-12,-1.962800e-06,-1.257313e-06,1.326248e-06,-2.040755e-06,7.031921e-08,4.996610e-07,3.367003e-06,1.046769e-05
1.590000e-12,-1.985889e-06,-1.268129e-06,1.342259e-06,-2.071330e-06,6.914610e-08,5.175378e-07,3.413589e-06,1.057009e-05
1.600000e-12,-2.008999e-06,-1.278874e-06,1.358251e-06,-2.101995e-06,6.795395e-08,5.356771e-07,3.460245e-06,1.067171e-05
1.610000e-12,-2.032134e-06,-1.289547e-06,1.374225e-06,-2.132737e-06,6.674413e-08,5.540742e-07,3.506963e-06,1.077254e-05
1.620000e-12,-2.055296e-06,-1.300144e-06,1.390187e-06,-2.163545e-06,6.551806e-08,5.727241e-07,3.553732e-06,1.087256e-05
1.630000e-12,-2.078488e-06,-1.310662e-06,1.406140e-06,-2.194406e-06,6.427721e-08,5.916218e-07,3.600546e-06,1.097175e-05
1.640000e-12,-2.101712e-06,-1.321100e-06,1.422087e-06,-2.225307e-06,6.302307e-08,6.107618e-07,3.647394e-06,1.107010e-05
1.650000e-12,-2.124970e-06,-1.331455e-06,1.438033e-06,-2.256236e-06,6.175719e-08,6.301387e-07,3.694269e-06,1.116757e-05
1.660000e-12,-2.148265e-06,-1.341724e-06,1.453981e-06,-2.287181e-06,6.048118e-08,6.497467e-07,3.741162e-06,1.126417e-05
1.670000e-12,-2.171601e-06,-1.351905e-06,1.469936e-06,-2.318127e-06,5.919666e-08,6.695799e-07,3.788063e-06,1.135987e-05
1.680000e-12,-2.194980e-06,-1.361996e-06,1.485902e-06,-2.349063e-06,5.790530e-08,6.896323e-07,3.834965e-06,1.145466e-05
1.690000e-12,-2.218405e-06,-1.371995e-06,1.501883e-06,-2.379975e-06,5.660881e-08,7.098976e-07,3.881857e-06,1.154852e-05
1.700000e-12,-2.241878e-06,-1.381899e-06,1.517883e-06,-2.410849e-06,5.530895e-08,7.303694e-07,3.928732e-06,1.164143e-05
1.710000e-12,-2.265402e-06,-1.391707e-06,1.533906e-06,-2.441674e-06,5.400749e-08,7.510410e-07,3.975580e-06,1.173340e-05
1.720000e-12,-2.288981e-06,-1.401417e-06,1.549958e-06,-2.472435e-06,5.270627e-08,7.719056e-07,4.022393e-06,1.182439e-05
1.730000e-12,-2.312616e-06,-1.411026e-06,1.566042e-06,-2.503119e-06,5.140714e-08,7.929563e-07,4.069161e-06,1.191441e-05
