time,"I(LT11)","I(LT13)","I(LT14)","I(LTN81)","I(LTN131)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-14,-2.814638e-09,6.975022e-08,-2.852411e-08,5.057382e-09,4.122611e-08
2.000000e-14,-5.093026e-09,1.397721e-07,-5.706032e-08,9.934192e-09,8.271175e-08
3.000000e-14,-6.761614e-09,2.101063e-07,-8.560461e-08,1.466312e-08,1.245017e-07
4.000000e-14,-7.770364e-09,2.807818e-07,-1.141513e-07,1.929394e-08,1.666305e-07
5.000000e-14,-8.075623e-09,3.518242e-07,-1.426940e-07,2.388160e-08,2.091302e-07
6.000000e-14,-7.634622e-09,4.232583e-07,-1.712259e-07,2.848205e-08,2.520323e-07
7.000000e-14,-6.403769e-09,4.951085e-07,-1.997401e-07,3.315081e-08,2.953684e-07
8.000000e-14,-4.338192e-09,5.673999e-07,-2.282293e-07,3.794245e-08,3.391706e-07
9.000000e-14,-1.391688e-09,6.401575e-07,-2.566860e-07,4.291040e-08,3.834714e-07
1.000000e-13,2.483208e-09,7.134065e-07,-2.851027e-07,4.810697e-08,4.283038e-07
1.100000e-13,7.335098e-09,7.871722e-07,-3.134714e-07,5.358329e-08,4.737008e-07
1.200000e-13,1.321360e-08,8.614801e-07,-3.417842e-07,5.938936e-08,5.196959e-07
1.300000e-13,2.016923e-08,9.363557e-07,-3.700328e-07,6.557401e-08,5.663229e-07
1.400000e-13,2.825324e-08,1.011824e-06,-3.982088e-07,7.218498e-08,6.136155e-07
1.500000e-13,3.751756e-08,1.087911e-06,-4.263034e-07,7.926886e-08,6.616075e-07
1.600000e-13,4.801461e-08,1.164641e-06,-4.543080e-07,8.687116e-08,7.103330e-07
1.700000e-13,5.979726e-08,1.242039e-06,-4.822133e-07,9.503627e-08,7.598259e-07
1.900000e-13,8.743208e-08,1.398938e-06,-5.376891e-07,1.132271e-07,8.612487e-07
2.000000e-13,1.033910e-07,1.478486e-06,-5.652403e-07,1.233363e-07,9.132459e-07
2.100000e-13,1.208489e-07,1.558799e-06,-5.926540e-07,1.341750e-07,9.661448e-07
2.200000e-13,1.398590e-07,1.639898e-06,-6.199199e-07,1.457824e-07,1.019978e-06
2.300000e-13,1.604745e-07,1.721807e-06,-6.470278e-07,1.581963e-07,1.074779e-06
2.400000e-13,1.827481e-07,1.804547e-06,-6.739670e-07,1.714537e-07,1.130580e-06
2.500000e-13,2.067323e-07,1.888139e-06,-7.007269e-07,1.855904e-07,1.187412e-06
2.600000e-13,2.324790e-07,1.972604e-06,-7.272962e-07,2.006411e-07,1.245308e-06
