time,"P(BJS|XBQ)","V(BJS|XBQ)","I(BJS|XBQ)","P(BJL1|XBQ)","V(BJL1|XBQ)","I(BJL1|XBQ)","P(BJL2|XBQ)","V(BJL2|XBQ)","I(BJL2|XBQ)","I(LIN|XBQ)","I(L0|XBQ)","I(L1|XBQ)","I(L2|XBQ)","I(RB|XBQ)","I(RJ1|XBQ)","I(RJ2|XBQ)","V(SL1)","I(LIN|XBQ)","V(OUT_Q)","I(R_LOAD)","V(N6|XBVM1)","I(L_SL|XBVM1)","P(B_JM1|XBVM1)","V(B_JM1|XBVM1)","P(B_JM2|XBVM1)","V(B_JM2|XBVM1)","P(B_JS1|XBVM1)","V(B_JS1|XBVM1)","P(B_JS2|XBVM1)","V(B_JS2|XBVM1)","I(I_WL1)","I(I_BL1)","I(I_SE1)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e-14,-1.303370e-09,-5.147363e-11,-2.163501e-10,1.810168e-06,7.148845e-08,2.163419e-07,1.206695e-06,4.765565e-08,2.163268e-07,-2.163501e-10,2.823871e-10,-2.187246e-07,2.187754e-07,4.375000e-07,2.166317e-09,2.166166e-09,5.066737e-08,-2.163501e-10,2.823871e-09,2.823871e-10,2.470536e-08,-2.163501e-10,1.317372e-11,5.202658e-13,-1.147832e-11,-4.533100e-13,-6.572110e-11,-2.595505e-12,-8.149344e-10,-3.218397e-11,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-14,-9.464350e-09,-3.051414e-10,-9.945450e-10,8.414465e-06,2.369921e-07,4.292058e-07,5.609091e-06,1.579774e-07,4.291470e-07,-9.945450e-10,1.290312e-09,-4.373819e-07,4.376181e-07,8.750000e-07,7.181580e-09,7.180790e-09,1.689035e-07,-9.945450e-10,1.290312e-08,1.290312e-09,8.071250e-08,-9.945450e-10,9.538348e-11,3.073265e-12,-8.335642e-11,-2.687558e-12,-4.773145e-10,-1.538977e-11,-5.917517e-09,-1.907869e-10,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e-14,-3.845730e-08,-1.037577e-09,-2.725782e-09,2.333959e-05,5.024931e-07,6.379697e-07,1.555772e-05,3.349444e-07,6.378381e-07,-2.725782e-09,3.514658e-09,-6.559225e-07,6.565775e-07,1.312500e-06,1.522706e-08,1.522474e-08,3.601590e-07,-2.725782e-09,3.514658e-08,3.514658e-09,1.684910e-07,-2.725782e-09,3.864275e-10,1.041189e-11,-3.387627e-10,-9.140468e-12,-1.940111e-09,-5.235150e-11,-2.404455e-08,-6.487141e-10,0.000000e+00,0.000000e+00,0.000000e+00
5.000000e-14,-1.154669e-07,-2.659649e-09,-5.800553e-09,5.030003e-05,8.682632e-07,8.421826e-07,3.352809e-05,5.787324e-07,8.419666e-07,-5.800553e-09,7.433230e-09,-8.742942e-07,8.757058e-07,1.750000e-06,2.631101e-08,2.630602e-08,6.258251e-07,-5.800553e-09,7.433230e-08,7.433230e-09,2.864677e-07,-5.800553e-09,1.156729e-09,2.658993e-11,-1.017367e-09,-2.343769e-11,-5.827784e-09,-1.342782e-10,-7.219040e-08,-1.662782e-09,0.000000e+00,0.000000e+00,0.000000e+00
6.250000e-14,-2.858132e-07,-5.713667e-09,-1.058687e-08,9.302741e-05,1.332507e-06,1.041479e-06,6.200711e-05,8.881475e-07,1.041201e-06,-1.058687e-08,1.348434e-08,-1.092445e-06,1.095055e-06,2.187500e-06,4.037899e-08,4.037034e-08,9.656993e-07,-1.058687e-08,1.348434e-07,1.348434e-08,4.324265e-07,-1.058687e-08,2.854503e-09,5.690927e-11,-2.519088e-09,-5.037376e-11,-1.443431e-08,-2.887169e-10,-1.786827e-07,-3.571869e-09,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e-14,-6.176968e-07,-1.086450e-08,-1.742097e-08,1.551925e-04,1.892594e-06,1.235550e-06,1.034415e-04,1.261454e-06,1.235281e-06,-1.742097e-08,2.205767e-08,-1.310322e-06,1.314678e-06,2.625000e-06,5.735133e-08,5.733880e-08,1.378818e-06,-1.742097e-08,2.205767e-07,2.205767e-08,6.039901e-07,-1.742097e-08,6.150304e-09,1.078102e-10,-5.446505e-09,-9.584263e-11,-3.121991e-08,-5.496105e-10,-3.861428e-07,-6.791269e-09,0.000000e+00,0.000000e+00,0.000000e+00
8.750000e-14,-1.206585e-06,-1.888781e-08,-2.660376e-08,2.403689e-04,2.545493e-06,1.424137e-06,1.602144e-04,1.696663e-06,1.424009e-06,-2.660376e-08,3.349277e-08,-1.527877e-06,1.534623e-06,3.062500e-06,7.713614e-08,7.712106e-08,1.863748e-06,-2.660376e-08,3.349277e-07,3.349277e-08,7.987898e-07,-2.660376e-08,1.197732e-08,1.867380e-10,-1.064449e-08,-1.667455e-10,-6.104300e-08,-9.568251e-10,-7.542173e-07,-1.180521e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,-2.179150e-06,-3.065698e-08,-3.839972e-08,3.520150e-04,3.287925e-06,1.607026e-06,2.346337e-04,2.191647e-06,1.607239e-06,-3.839972e-08,4.808074e-08,-1.745060e-06,1.754940e-06,3.500000e-06,9.963410e-08,9.962034e-08,2.418706e-06,-3.839972e-08,4.808074e-07,4.808074e-08,1.014527e-06,-3.839972e-08,2.156670e-08,3.020026e-10,-1.923639e-08,-2.708899e-10,-1.103746e-07,-1.555641e-09,-1.362024e-06,-1.915853e-08,0.000000e+00,0.000000e+00,0.000000e+00
1.125000e-13,-3.696715e-06,-4.712966e-08,-5.303695e-08,4.934633e-04,4.116441e-06,1.784048e-06,3.289259e-04,2.744183e-06,1.784872e-06,-5.303695e-08,6.606706e-08,-1.961825e-06,1.975675e-06,3.937500e-06,1.247406e-07,1.247356e-07,3.041607e-06,-5.303695e-08,6.606706e-07,6.606706e-08,1.248997e-06,-5.303695e-08,3.647774e-08,4.626404e-10,-3.265641e-08,-4.168870e-10,-1.874941e-07,-2.396244e-09,-2.310286e-06,-2.944812e-08,0.000000e+00,0.000000e+00,0.000000e+00
