case,role,window,kind,signal,unit,n,min,max,median,mean,p2p,signed_integral,dynamic_integral,baseline_median
C13.logical1_read,logical1_read,PRE,branch_current,source,A,1120,-3.127106e-08,3.437544e-08,1.3572465e-09,8.673298474642859e-10,6.56465e-08,1.2012625639500099e-20,-6.97185977924989e-21,1.3572465e-09
C13.logical1_read,logical1_read,PRE,branch_current,lin,A,1120,-3.127106e-08,3.437544e-08,1.3572465e-09,8.673298474642859e-10,6.56465e-08,1.2012625639500099e-20,-6.97185977924989e-21,1.3572465e-09
C13.logical1_read,logical1_read,PRE,branch_current,BJs,A,1120,-3.127106e-08,3.437544e-08,1.3572465e-09,8.673298474642859e-10,6.56465e-08,1.2012625639500099e-20,-6.97185977924989e-21,1.3572465e-09
C13.logical1_read,logical1_read,PRE,branch_current,BJL1,A,1120,1.509113e-05,1.514937e-05,1.5120680000000001e-05,1.512091329464286e-05,5.823999999999997e-08,2.1150369037499998e-16,3.1788749999852046e-21,1.5120680000000001e-05
C13.logical1_read,logical1_read,PRE,branch_current,BJL2,A,1120,1.986403e-05,1.989411e-05,1.9878755e-05,1.9878640026785715e-05,3.008000000000023e-08,2.7805241325e-16,-1.672312500005725e-21,1.9878755e-05
C13.logical1_read,logical1_read,PRE,branch_current,L0,A,1120,-2.190011e-08,2.433928e-08,4.953736e-10,4.173337154017858e-10,4.623939e-08,5.9297160781248545e-21,-9.993221518751482e-22,4.953736e-10
C13.logical1_read,logical1_read,PRE,branch_current,L1,A,1120,-1.515323e-05,-1.508671e-05,-1.5120135e-05,-1.5120628330357141e-05,6.651999999999983e-08,-2.11499732375e-16,-6.84406249999677e-21,-1.5120135e-05
C13.logical1_read,logical1_read,PRE,branch_current,L2,A,1120,1.984677e-05,1.991329e-05,1.9879865e-05,1.9879371669642858e-05,6.652000000000152e-08,2.78062767625e-16,-6.844062500002157e-21,1.9879865e-05
C13.logical1_read,logical1_read,PRE,branch_current,RB,A,1120,3.5e-05,3.5e-05,3.5e-05,3.499999999999998e-05,0.0,4.895625e-16,0.0,3.5e-05
C13.logical1_read,logical1_read,PRE,branch_current,RJ1,A,1120,-2.236462e-08,2.481971e-08,7.905657e-10,5.822076554464288e-10,4.718433e-08,8.052407220000086e-21,-3.0056305087499063e-21,7.905657e-10
C13.logical1_read,logical1_read,PRE,branch_current,RJ2,A,1120,-1.067957e-08,1.186571e-08,4.4979055e-10,3.144701384482143e-10,2.254528e-08,4.426936719524946e-21,-1.8645085986000563e-21,4.4979055e-10
C13.logical1_read,logical1_read,PRE,kcl_residual,input,A,1120,,,,,,,,
C13.logical1_read,logical1_read,PRE,kcl_residual,node2,A,1120,,,,,,,,
C13.logical1_read,logical1_read,PRE,kcl_residual,node3,A,1120,,,,,,,,
C13.logical1_read,logical1_read,PRE,kcl_residual,node4,A,1120,,,,,,,,
C13.logical1_read,logical1_read,ACTIVE,branch_current,source,A,2880,-1.449177e-05,7.90668e-05,1.7849015e-05,2.397719269659727e-05,9.355857000000001e-05,8.631984286286893e-16,8.631495847202703e-16,1.3572465e-09
C13.logical1_read,logical1_read,ACTIVE,branch_current,lin,A,2880,-1.449177e-05,7.90668e-05,1.7849015e-05,2.397719269659727e-05,9.355857000000001e-05,8.631984286286893e-16,8.631495847202703e-16,1.3572465e-09
C13.logical1_read,logical1_read,ACTIVE,branch_current,BJs,A,2880,-1.449177e-05,7.90668e-05,1.7849015e-05,2.397719269659727e-05,9.355857000000001e-05,8.631984286286893e-16,8.631495847202703e-16,1.3572465e-09
C13.logical1_read,logical1_read,ACTIVE,branch_current,BJL1,A,2880,-5.33618e-05,5.192646e-05,1.7629589999999997e-05,2.040251301184375e-05,0.00010528826,7.343198799888752e-16,1.9016440848887497e-16,1.5120680000000001e-05
C13.logical1_read,logical1_read,ACTIVE,branch_current,BJL2,A,2880,-5.706681e-05,6.116318e-05,2.4087234999999998e-05,2.8455465684909723e-05,0.00011822999,1.0241520700317504e-15,3.0876537446925007e-16,1.9878755e-05
