time,"V(OUT1)","V(B1|XDCSFQ)","V(B2|XDCSFQ)","V(B3|XDCSFQ)","P(B1|XDCSFQ)","P(B2|XDCSFQ)","P(B3|XDCSFQ)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,4.095341e-06,-5.540614e-07,1.464394e-06,1.014871e-06,-1.122357e-04,2.966408e-04,2.055814e-04
2.000000e-13,7.546373e-06,-1.792180e-06,4.737559e-06,3.315577e-06,-5.126876e-04,1.355204e-03,9.457418e-04
3.000000e-13,1.080542e-05,-3.694034e-06,9.750731e-06,6.889501e-06,-1.394468e-03,3.683254e-03,2.588061e-03
4.000000e-13,1.425460e-05,-6.168232e-06,1.622521e-05,1.157211e-05,-2.937888e-03,7.745994e-03,5.479651e-03
5.000000e-13,1.812479e-05,-9.085378e-06,2.376060e-05,1.710655e-05,-5.292777e-03,1.391340e-02,9.908771e-03
6.000000e-13,2.249688e-05,-1.229554e-05,3.188711e-05,2.318074e-05,-8.568435e-03,2.242855e-02,1.608084e-02
7.000000e-13,2.732958e-05,-1.564038e-05,4.010722e-05,2.945721e-05,-1.282858e-02,3.339141e-02,2.410532e-02
8.000000e-13,3.249305e-05,-1.896296e-05,4.793341e-05,3.559945e-05,-1.808993e-02,4.675551e-02,3.399149e-02
9.000000e-13,3.780114e-05,-2.211611e-05,5.492226e-05,4.129516e-05,-2.432376e-02,6.233576e-02,4.565200e-02
1.000000e-12,4.303998e-05,-2.496930e-05,6.070366e-05,4.627557e-05,-3.145970e-02,7.982586e-02,5.891283e-02
1.100000e-12,4.799245e-05,-2.741417e-05,6.500348e-05,5.033047e-05,-3.939161e-02,9.882358e-02,7.352850e-02
1.200000e-12,5.245822e-05,-2.936849e-05,6.765856e-05,5.331806e-05,-4.798473e-02,1.188617e-01,8.920097e-02
1.300000e-12,5.626950e-05,-3.077868e-05,6.862308e-05,5.516978e-05,-5.708391e-02,1.394420e-01,1.056008e-01
1.400000e-12,5.930224e-05,-3.162081e-05,6.796629e-05,5.588993e-05,-6.652236e-02,1.600699e-01,1.223890e-01
1.500000e-12,6.148293e-05,-3.190022e-05,6.586214e-05,5.555071e-05,-7.613051e-02,1.802875e-01,1.392379e-01
1.600000e-12,6.279113e-05,-3.164986e-05,6.257201e-05,5.428316e-05,-8.574451e-02,1.997019e-01,1.558503e-01
1.700000e-12,6.325812e-05,-3.092740e-05,5.842211e-05,5.226505e-05,-9.521410e-02,2.180078e-01,1.719750e-01
1.800000e-12,6.296201e-05,-2.981139e-05,5.377762e-05,4.970672e-05,-1.044095e-01,2.350035e-01,1.874190e-01
1.900000e-12,6.202020e-05,-2.839660e-05,4.901546e-05,4.683583e-05,-1.132269e-01,2.505977e-01,2.020545e-01
2.000000e-12,6.057964e-05,-2.678870e-05,4.449796e-05,4.388227e-05,-1.215926e-01,2.648097e-01,2.158221e-01
