time,"V(B1|XDUT)","V(B2|XDUT)","P(B1|XDUT)","P(B2|XDUT)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,1.044930e-06,1.146188e-06,2.116705e-04,2.321822e-04
2.000000e-13,3.379509e-06,3.712878e-06,9.668111e-04,1.061690e-03
3.000000e-13,6.950885e-06,7.657356e-06,2.626558e-03,2.889336e-03
4.000000e-13,1.155409e-05,1.277829e-05,5.520308e-03,6.087037e-03
5.000000e-13,1.689673e-05,1.878252e-05,9.907645e-03,1.095769e-02
6.000000e-13,2.263853e-05,2.532271e-05,1.595596e-02,1.771084e-02
7.000000e-13,2.842323e-05,3.202643e-05,2.372972e-02,2.644945e-02
8.000000e-13,3.390709e-05,3.852228e-05,3.318951e-02,3.716574e-02
9.000000e-13,3.878396e-05,4.446371e-05,4.419919e-02,4.974481e-02
1.000000e-12,4.280593e-05,4.955015e-05,5.654025e-02,6.397516e-02
1.100000e-12,4.579832e-05,5.354420e-05,6.993125e-02,7.956500e-02
1.200000e-12,4.766837e-05,5.628425e-05,8.405105e-02,9.616306e-02
1.300000e-12,4.840732e-05,5.769172e-05,9.856347e-02,1.133823e-01
1.400000e-12,4.808600e-05,5.777281e-05,1.131417e-01,1.308250e-01
1.500000e-12,4.684483e-05,5.661473e-05,1.274904e-01,1.481077e-01
1.600000e-12,4.487921e-05,5.437698e-05,1.413644e-01,1.648836e-01
1.700000e-12,4.242175e-05,5.127840e-05,1.545824e-01,1.808630e-01
1.800000e-12,3.972298e-05,4.758108e-05,1.670351e-01,1.958279e-01
1.900000e-12,3.703191e-05,4.357222e-05,1.786875e-01,2.096426e-01
2.000000e-12,3.457820e-05,3.954527e-05,1.895761e-01,2.222582e-01
2.100000e-12,3.255689e-05,3.578150e-05,1.998006e-01,2.337116e-01
2.200000e-12,3.111681e-05,3.253313e-05,2.095121e-01,2.441196e-01
2.300000e-12,3.035319e-05,3.000895e-05,2.188979e-01,2.536678e-01
2.400000e-12,3.030476e-05,2.836322e-05,2.281653e-01,2.625960e-01
2.500000e-12,3.095523e-05,2.768838e-05,2.375250e-01,2.711809e-01
2.600000e-12,3.223867e-05,2.801176e-05,2.471755e-01,2.797169e-01
2.700000e-12,3.404816e-05,2.929657e-05,2.572894e-01,2.884968e-01
2.800000e-12,3.624683e-05,3.144675e-05,2.680032e-01,2.977935e-01
2.900000e-12,3.868023e-05,3.431536e-05,2.794099e-01,3.078437e-01
3.000000e-12,4.118904e-05,3.771591e-05,2.915557e-01,3.188338e-01
3.100000e-12,4.362115e-05,4.143575e-05,3.044406e-01,3.308908e-01
3.200000e-12,4.584216e-05,4.525068e-05,3.180218e-01,3.440762e-01
3.300000e-12,4.774376e-05,4.893965e-05,3.322202e-01,3.583849e-01
3.400000e-12,4.924932e-05,5.229880e-05,3.469294e-01,3.737486e-01
3.500000e-12,5.031677e-05,5.515376e-05,3.620251e-01,3.900423e-01
3.600000e-12,5.093851e-05,5.736950e-05,3.773756e-01,4.070948e-01
3.700000e-12,5.113886e-05,5.885722e-05,3.928516e-01,4.247016e-01
3.800000e-12,5.096928e-05,5.957793e-05,4.083350e-01,4.426392e-01
